Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Radial_D5.0mm_H7.0mm_P2.00mm,1,10uF,
C2,1210,1,100nF,
C3,C_Radial_D8.0mm_H7.0mm_P3.50mm,1,10uF,
"J1, J2",TerminalBlock_bornier-8_P5.08mm,2,Screw_Terminal_01x08,
J3,TerminalBlock_bornier-4_P5.08mm,1,Screw_Terminal_01x04,
J4,TerminalBlock_bornier-2_P5.08mm,1,Screw_Terminal_01x02,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,47k,
R2,1206,1,10k,
TP1,TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,1,TestPoint,
TP3,TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,1,TestPoint_Alt,
U4,SOT-23-5,1,TPS7A2050PDBVR,
U5,AD5672RBRUZ_ADI,1,AD5672RBRUZ,
